datetime,open,close,high,low,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
2020-02-17 08:00:00,248.64,248.17,254.06,242.58,216013.5982,53566010.9838285,73450,110485.74724,27407976.2172302
2020-02-17 12:00:00,248.17,256.48,258.49,243.3,261783.55274,65412595.3052414,90836,122425.10839,30583140.1953383
2020-02-17 16:00:00,256.5,260.4,262.91,254.38,179065.97916,46297216.3513072,71785,89516.48113,23151853.8621965
2020-02-17 20:00:00,260.47,267.85,268.77,257.72,121686.01553,31986050.6192411,56668,55735.20541,14650041.8781745
2020-02-18 00:00:00,267.9,269.18,271.63,263.23,163939.83756,44003251.101736,67993,74106.38422,19887958.792698
2020-02-18 04:00:00,269.16,268.71,271.53,265.73,119921.07911,32234778.2356868,47709,58058.12903,15604843.5662357
2020-02-18 08:00:00,268.71,267.5,268.82,262.1,158274.48968,42010627.1991372,62163,81727.33311,21695758.8893747
2020-02-18 12:00:00,267.5,273.66,275.1,258.0,238206.08946,63757001.1094348,87189,115951.43177,31032911.6419106
2020-02-18 16:00:00,273.67,284.68,285.56,272.93,288032.01441,80679151.8783036,104500,149707.34725,41960059.4331056
2020-02-18 20:00:00,284.68,282.61,285.88,276.34,147149.9297,41477453.7818406,62245,70690.39532,19928053.3291569
2020-02-19 00:00:00,282.64,280.15,282.94,277.28,72124.40269,20194968.4158626,38227,36512.19439,10224862.9721275
2020-02-19 04:00:00,280.15,276.65,281.16,274.68,86697.31126,24108206.8127833,37301,43092.31289,11986635.3178236
2020-02-19 08:00:00,276.68,281.5,282.81,274.2,100503.93617,28112804.6106894,42208,49580.92631,13871963.1137263
2020-02-19 16:00:00,281.5,276.63,285.0,276.05,76356.85945,21400910.4089864,37900,36320.40083,10189472.8291158
2020-02-19 20:00:00,276.72,258.45,277.58,251.56,370291.22031,98071065.5100266,142412,177797.2725,47056130.2752713
2020-02-20 00:00:00,258.44,260.79,264.33,256.5,156981.85521,40979342.6146912,69204,80438.64702,20998910.6650231
2020-02-20 04:00:00,260.8,261.0,262.0,257.31,92398.00835,24031119.3983232,41168,46864.87814,12192327.915111
2020-02-20 08:00:00,260.99,253.32,261.09,252.24,150054.59533,38506575.185497,58181,74780.15119,19203224.8134851
2020-02-20 12:00:00,253.34,254.98,259.24,246.85,264059.22855,66979732.1009381,85865,137555.74264,34903505.9664942
2020-02-20 16:00:00,254.98,256.0,260.0,245.34,216309.4058,54841188.8857843,81952,107399.28785,27246501.9102533
2020-02-20 20:00:00,255.94,256.96,262.0,254.03,93166.62367,24045155.8257775,37181,47845.61174,12351009.1635726
