Trade_ID,Direction,Entry_Time,Exit_Time,Hold_Bars,Entry_Price,Exit_Price,Exit_Reason,PnL_Percent,MFE_Percent
109,Long,2023-11-15 18:00:00,2023-11-16 02:00:00,8,37499.99,37454.98,Time_Exit,-0.12,0.9552
110,Long,2023-11-16 04:00:00,2023-11-16 10:00:00,6,37455.32,37247.48,Fast_MA_Exit,-0.5549,0.2861
111,Long,2023-11-16 12:00:00,2023-11-16 13:00:00,1,36770.0,36708.18,Fast_MA_Exit,-0.1681,0.0
112,Long,2023-11-21 14:00:00,2023-11-21 15:00:00,1,36975.04,37194.8,Fast_MA_Exit,0.5944,0.5944
113,Long,2023-11-23 12:00:00,2023-11-23 13:00:00,1,37238.0,37204.11,Fast_MA_Exit,-0.091,0.0
114,Long,2023-11-26 18:00:00,2023-11-26 19:00:00,1,37380.07,37588.57,Fast_MA_Exit,0.5578,0.5578
115,Long,2023-11-29 17:00:00,2023-11-29 18:00:00,1,37862.0,37874.2,Fast_MA_Exit,0.0322,0.0322
116,Long,2023-12-04 05:00:00,2023-12-04 13:00:00,8,41381.1,41645.93,Time_Exit,0.64,1.4429
117,Long,2023-12-04 15:00:00,2023-12-04 18:00:00,3,41633.98,41987.28,Signal_Exit,0.8486,0.8486
118,Long,2023-12-06 01:00:00,2023-12-06 09:00:00,8,43903.9,44111.25,Time_Exit,0.4723,0.4723
119,Long,2023-12-06 20:00:00,2023-12-06 21:00:00,1,43824.19,43766.84,Fast_MA_Exit,-0.1309,0.0
120,Long,2023-12-07 10:00:00,2023-12-07 11:00:00,1,43188.03,43408.0,Fast_MA_Exit,0.5093,0.5093
121,Long,2023-12-07 18:00:00,2023-12-07 19:00:00,1,43203.58,43235.74,Fast_MA_Exit,0.0744,0.0744
122,Long,2023-12-14 08:00:00,2023-12-14 11:00:00,3,42891.98,43095.62,Signal_Exit,0.4748,0.8745
123,Long,2023-12-16 07:00:00,2023-12-16 18:00:00,11,42179.13,42351.73,Time_Exit,0.4092,1.0073
124,Long,2023-12-20 19:00:00,2023-12-21 01:00:00,6,43441.82,43389.95,Fast_MA_Exit,-0.1194,0.5228
125,Long,2024-01-02 00:00:00,2024-01-02 14:00:00,14,44855.96,45184.82,Time_Exit,0.7331,2.0139
126,Long,2024-01-02 17:00:00,2024-01-02 18:00:00,1,45154.69,45039.49,Fast_MA_Exit,-0.2551,0.0
127,Long,2024-01-02 20:00:00,2024-01-02 21:00:00,1,45119.74,44981.73,Fast_MA_Exit,-0.3059,0.0
128,Long,2024-01-03 07:00:00,2024-01-03 09:00:00,2,45200.0,45151.91,Signal_Exit,-0.1064,0.3201
